original_Name,original_Address,original_City,original_State,lat,lon,formatted,suburb,housenumber,name,street,postcode,district,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
PETRO GARY #6369,1-90/1-84 Exit 9.,Gary,IN,41.6020962,-87.3370646,"Gary, IN, United States of America",,,,,,,Gary,Lake County,Indiana,IN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #30,1-70 Exit 96,Greenfield,IN,39.7855096,-85.7681979,"Greenfield, IN 46140, United States of America",,,,,46140,,Greenfield,Hancock County,Indiana,IN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #650,1-94 Exit 15B,Lake Station,IN,41.5750369,-87.2389246,"Lake Station, IN 46405, United States of America",,,,,46405,,Lake Station,Lake County,Indiana,IN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #912,1-80 Exit 1B,Council Bluffs,IA,41.258841,-95.8519484,"Council Bluffs, IA, United States of America",,,,,,,Council Bluffs,Pottawattamie County,Iowa,IA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #329,1-80/29 Exit 1B,Council Bluffs,IA,41.258841,-95.8519484,"Council Bluffs, IA, United States of America",,,,,,,Council Bluffs,Pottawattamie County,Iowa,IA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TA LAFAYETTE #770,"1-10 & State Rd 182, MM 101",Lafayette,LA,30.2262187,-92.0178202,"Lafayette, LA, United States of America",,,,,,,Lafayette,Lafayette Parish,Louisiana,LA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #208,1-55 Exit 119,Canton,MS,32.612602,-90.0367512,"Canton, MS 39046, United States of America",,,,,39046,,Canton,Madison County,Mississippi,MS,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PETRO JACKSON #6328,970 1-20 W Frontage Rd,Jackson,MS,32.2747867,-90.205942,"I- 20 Frontage Road, Jackson, MS 39217, United States of America",,,I- 20 Frontage Road,I- 20 Frontage Road,39217,,Jackson,Hinds County,Mississippi,MS,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #77,1-55/20 Exit 45,Jackson,MS,32.2998686,-90.1830408,"Jackson, MS, United States of America",,,,,,,Jackson,Hinds County,Mississippi,MS,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #402,1-10 Exit 44,Biloxi,MS,30.4007626,-88.8893818,"Biloxi, MS, United States of America",,,,,,,Biloxi,Harrison County,Mississippi,MS,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #461,1-70 Exit 246A,St. Louis,MO,38.6280278,-90.1910154,"St. Louis, MO, United States of America",,,,,,,St. Louis,,Missouri,MO,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #341,1-15 Exit 48,North Las Vegas,NV,36.2005843,-115.121584,"North Las Vegas, NV, United States of America",,,,,,,North Las Vegas,Clark County,Nevada,NV,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #936,1-15 Exit 46,Las Vegas,NV,36.1672559,-115.148516,"Las Vegas, NV, United States of America",,,,,,,Las Vegas,Clark County,Nevada,NV,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TA SPARKS #428,1-80 Exit 19.,Sparks,NV,39.5404679,-119.7487235,"Sparks, NV, United States of America",,,,,,,Sparks,Washoe County,Nevada,NV,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #770,1-80 Exit 176,Winnemucca,NV,40.972415,-117.7347619,"Winnemucca, NV 89445, United States of America",,,,,89445,,Winnemucca,Humboldt County,Nevada,NV,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #689,1-40 Exit 153,Albuquerque,NM,35.0789377,-106.74652371022378,"Flying J, Avalon Road Northwest, Albuquerque, NM 87121, United States of America",,,Flying J,Avalon Road Northwest,87121,,Albuquerque,Bernalillo County,New Mexico,NM,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #210,1-40 Exit 158,Albuquerque,NM,35.0841034,-106.650985,"Albuquerque, NM, United States of America",,,,,,,Albuquerque,Bernalillo County,New Mexico,NM,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TA ALBUQUERQUE #424,2501 University Blvd NE,Albuquerque,NM,35.109291,-106.623907,"2501 University Boulevard Northeast, Albuquerque, NM 87107, United States of America",Netherwood Park,2501,,University Boulevard Northeast,87107,,Albuquerque,Bernalillo County,New Mexico,NM,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #266,1-10 & NM 292 Exit 139,Las Cruces,NM,32.3140354,-106.779807,"Las Cruces, NM, United States of America",,,,,,,Las Cruces,Doña Ana County,New Mexico,NM,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #275,1-85/77 Exit 39,Charlotte,NC,35.2272086,-80.8430827,"Charlotte, NC, United States of America",,,,,,,Charlotte,Mecklenburg County,North Carolina,NC,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #7996,2700 Chamber Dr,Monroe,NC,35.05109,-80.619737,"2700 Chamber Drive, Indian Trail, NC 28110, United States of America",,2700,,Chamber Drive,28110,,Indian Trail,Union County,North Carolina,NC,United States,us,0.5103,0.567,0.567,,,
